home_rank,home_winning_rate,home_winning,away_rank,away_winning_rate,away_winning,temp,insolation,rain,holiday,event,time,target,year,month,MON,TUE,WEN,THUR,FRI,SAT,SUN,LG,DOOSAN,KIA,KT,NC,SSG,LOTTE,SAMSUNG,KIWOOM,HANHWA
1,1,1,6,0,-1,8.2,24.09,0,1,0,0,0.685,2022,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1,1,2,8,0,-2,9.6,24.34,0,1,1,0,0.478,2022,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
3,0.667,2,3,0.667,2,10.3,21.21,0,0,0,1,0.173,2022,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4,0.5,-1,3,0.75,3,11.7,21.54,0,0,0,1,0.175,2022,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3,0.6,1,3,0.6,-1,10.9,24.3,0,0,0,1,0.171,2022,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2,0.833,2,7,0.333,1,12.9,24.92,0,0,1,1,0.447,2022,4,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
2,0.857,2,8,0.286,-1,17.8,21.41,1,1,1,0,0.603,2022,4,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
2,0.875,4,8,0.25,-2,18.2,24.18,0,1,1,0,0.551,2022,4,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2,0.778,-1,1,1,9,19.3,18.23,1,0,0,1,0.254,2022,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,0.7,1,1,1,10,13.1,4.06,1,0,0,1,0.191,2022,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,0.727,-1,1,0.909,-1,13.2,9.52,0,0,0,1,0.274,2022,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
4,0.636,-2,2,0.667,7,13.3,26.31,0,0,0,1,0.186,2022,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
3,0.667,1,4,0.615,-1,13.2,26.64,0,1,0,0,0.41,2022,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
4,0.615,4,3,0.643,1,14,26,0,1,1,0,0.369,2022,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
2,0.667,-3,8,0.286,1,15.2,25.17,0,0,0,1,0.191,2022,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2,0.625,-1,8,0.333,2,15.7,26.26,0,0,0,1,0.193,2022,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
3,0.588,-2,8,0.375,3,16.3,19.54,0,0,0,1,0.186,2022,4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
3,0.588,2,2,0.611,1,15,3.06,0,0,0,1,0.357,2022,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
2,0.611,3,3,0.579,-1,17.7,23.47,0,1,0,0,0.749,2022,4,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
3,0.579,3,2,0.6,1,18.5,20.45,0,1,1,0,0.625,2022,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
2,0.6,-1,10,0.286,-1,21.9,24.94,1,0,0,1,0.153,2022,4,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2,0.619,-1,10,0.273,-2,17.7,26.83,0,0,0,1,0.145,2022,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3,0.591,6,10,0.304,1,18.2,22.34,0,0,0,1,0.22,2022,4,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
3,0.583,7,2,0.591,2,13.4,13.08,16,0,0,1,0.66,2022,4,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
3,0.56,-2,2,0.609,3,13,12.52,0,1,0,0,0.969,2022,4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
5,0.538,5,2,0.625,4,13.4,27.41,0,1,0,0,0.864,2022,5,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
4,0.556,2,5,0.538,-1,14.8,28.07,0,0,0,1,0.426,2022,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5,0.536,-1,4,0.556,1,17.8,27.22,0,0,0,1,0.61,2022,5,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5,0.517,-2,3,0.571,2,18.9,29.35,0,1,1,0,1,2022,5,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
4,0.552,1,6,0.483,2,19.6,25.6,0,0,0,1,0.367,2022,5,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
2,0.567,-1,7,0.467,-1,18.4,22.57,1,1,0,0,0.444,2022,5,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
3,0.548,3,7,0.484,1,15.3,6.2,2,1,1,0,0.3,2022,5,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
