³¯Â¥,¿äÀÏ,È¨,¾î¿þÀÌ,°üÁß¼ö,È¨ÆÀ ¼øÀ§,È¨ÆÀ½Â·ü,È¨ÆÀ¿¬½Â,È¨ ¿¬½Â ¼ýÀÚ·Î,¾î¿þÀÌ ¼øÀ§,¾î¿þÀÌ ½Â·ü,¾î¿þÀÌ ¿¬½Â,¾î¿þÀÌ ¿¬½Â ¼ýÀÚ·Î,Æò±Õ±â¿Â,ÇÕ°è ÀÏ»ç·®(MJ/m2),ÀÏ°­¼ö·®(mm),°øÈÞÀÏ ¹× ÁÖ¸»,ÀÌº¥Æ® ¿©ºÎ,°æ±â ½Ã°£,°üÁß¼ö,ºñÀ²(y)
2022-04-02,Åä,µÎ»ê,ÇÑÈ­,"16,271",1,1,1½Â,1,6,0,1ÆÐ,-1,8.2,24.09,,1,,0,"16,271",0.685
2022-04-03,ÀÏ,µÎ»ê,ÇÑÈ­,"11,345",1,1,2½Â,2,8,0,2ÆÐ,-2,9.6,24.34,,1,1,0,"11,345",0.478
2022-04-05,È­,µÎ»ê,»ï¼º,"4,109",3,0.667,2½Â,2,3,0.667,2½Â,2,10.3,21.21,,0,,1,"4,109",0.173
2022-04-06,¼ö,µÎ»ê,»ï¼º,"4,161",4,0.5,1ÆÐ,-1,3,0.75,3½Â,3,11.7,21.54,,0,,1,"4,161",0.175
2022-04-07,¸ñ,µÎ»ê,»ï¼º,"4,055",3,0.6,1½Â,1,3,0.6,1ÆÐ,-1,10.9,24.3,,0,,1,"4,055",0.171
2022-04-08,±Ý,LG,NC,"10,623",2,0.833,2½Â,2,7,0.333,1½Â,1,12.9,24.92,,0,1,1,"10,623",0.447
2022-04-09,Åä,LG,NC,"14,328",2,0.857,2½Â,2,8,0.286,1ÆÐ,-1,17.8,21.41,1,1,1,0,"14,328",0.603
2022-04-10,ÀÏ,LG,NC,"13,095",2,0.875,4½Â,4,8,0.25,2ÆÐ,-2,18.2,24.18,,1,1,0,"13,095",0.551
2022-04-12,È­,LG,SSG,"6,028",2,0.778,1ÆÐ,-1,1,1,9½Â,9,19.3,18.23,1,0,,1,"6,028",0.254
2022-04-13,¼ö,LG,SSG,"4,547",2,0.7,1½Â,1,1,1,10½Â,10,13.1,4.06,1,0,,1,"4,547",0.191
2022-04-14,¸ñ,LG,SSG,"6,500",2,0.727,1ÆÐ,-1,1,0.909,1ÆÐ,-1,13.2,9.52,,0,,1,"6,500",0.274
